,Assembly Accession,Organism Name,Assembly BioSample Host,Assembly BioSample Isolation source,Assembly BioSample Source type,Assembly BioSample Description Comment,Annotation BUSCO Complete,Annotation Count Gene Total,Annotation Method,Assembly Assembly Method,Assembly BioSample Accession,Assembly BioSample Strain,Assembly BioSample Sub-species,Assembly BioSample Tissue,Assembly Level,Assembly Stats Contig L50,Assembly Stats Contig N50,Assembly Stats Gaps Between Scaffolds Count,Assembly Stats GC Percent,Assembly Stats Genome Coverage,Assembly Stats Number of Contigs,Assembly Stats Number of Scaffolds,CheckM completeness,CheckM contamination,CheckM version,Assembly BioProject Accession,Assembly BioSample Age,host_text,cleaned_host,isolation_source,genome.assembly_accession,genome.isolation_comments,genome.isolation_country,genome.isolation_site,genome.isolation_source,genome.host_age,genome.host_common_name,genome.host_gender,genome.host_group,genome.host_health,genome.host_name,genome.host_scientific_name
63,GCF_001232345.1,Staphylococcus aureus,homo sapiens,not known,,,,2799,Best-placed reference protein set; GeneMarkS-2+,velvet,SAMEA734679,09-01244,,,Scaffold,7,140197,,32.5,84.0,42,41,98.82,0.39,v1.2.4,PRJEB2096,,homo sapiens | not known,human,not known,GCF_001232345.1,,Singapore,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
64,GCF_001232845.1,Staphylococcus aureus,homo sapiens,not known,,,,2912,Best-placed reference protein set; GeneMarkS-2+,velvet,SAMEA1030237,ST22,,,Scaffold,6,170535,,32.5,231.0,39,38,98.82,0.41,v1.2.3,PRJEB2510,,homo sapiens | not known,human,not known,GCF_001232845.1,,United Kingdom,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
65,GCF_001232985.1,Staphylococcus aureus,homo sapiens,not known,,,,2806,Best-placed reference protein set; GeneMarkS-2+,velvet,SAMEA1030209,ST22,,,Scaffold,4,296549,,32.5,352.0,33,32,98.62,0.39,v1.2.3,PRJEB2510,,homo sapiens | not known,human,not known,GCF_001232985.1,,United Kingdom,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
66,GCF_001233145.1,Staphylococcus aureus,homo sapiens,not known,,,,2806,Best-placed reference protein set; GeneMarkS-2+,velvet,SAMEA1030255,ST22,,,Scaffold,5,173928,,32.5,329.0,32,31,98.77,0.34,v1.2.3,PRJEB2510,,homo sapiens | not known,human,not known,GCF_001233145.1,,United Kingdom,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
67,GCF_001233485.1,Staphylococcus aureus,homo sapiens,not known,,,,2834,Best-placed reference protein set; GeneMarkS-2+,velvet,SAMEA1030170,ST22,,,Scaffold,5,173947,,32.5,476.0,34,33,98.82,0.39,v1.2.3,PRJEB2510,,homo sapiens | not known,human,not known,GCF_001233485.1,,Australia,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
68,GCF_001233525.1,Staphylococcus aureus,homo sapiens,not known,,,,2912,Best-placed reference protein set; GeneMarkS-2+,velvet,SAMEA1030319,ST22,,,Scaffold,5,173892,,32.5,344.0,29,28,98.82,0.39,v1.2.3,PRJEB2510,,homo sapiens | not known,human,not known,GCF_001233525.1,,United Kingdom,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
69,GCF_001233605.1,Staphylococcus aureus,homo sapiens,not known,,,,2922,Best-placed reference protein set; GeneMarkS-2+,velvet,SAMEA1030328,ST22,,,Scaffold,6,166111,,32.5,234.0,40,37,98.82,0.39,v1.2.3,PRJEB2510,,homo sapiens | not known,human,not known,GCF_001233605.1,,United Kingdom,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
70,GCF_001233885.1,Staphylococcus aureus,homo sapiens,not known,,,,2776,Best-placed reference protein set; GeneMarkS-2+,velvet,SAMEA734769,07-02987,,,Scaffold,9,108436,,32.5,102.0,42,40,98.82,0.39,v1.2.3,PRJEB2096,,homo sapiens | not known,human,not known,GCF_001233885.1,,Australia,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
71,GCF_001234905.1,Staphylococcus aureus,homo sapiens,not known,,,,2765,Best-placed reference protein set; GeneMarkS-2+,velvet,SAMEA734711,06-01583,,,Scaffold,5,227387,,32.5,93.0,34,33,98.82,0.39,v1.2.3,PRJEB2096,,homo sapiens | not known,human,not known,GCF_001234905.1,,Germany,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
72,GCF_001235025.1,Staphylococcus aureus,homo sapiens,not known,,,,2832,Best-placed reference protein set; GeneMarkS-2+,velvet,SAMEA1030169,ST22,,,Scaffold,5,178395,,32.5,153.0,27,26,98.75,0.39,v1.2.3,PRJEB2510,,homo sapiens | not known,human,not known,GCF_001235025.1,,United Kingdom,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
73,GCF_001236005.1,Staphylococcus aureus,homo sapiens,not known,,,,2813,Best-placed reference protein set; GeneMarkS-2+,velvet,SAMEA1030264,ST22,,,Scaffold,5,173947,,32.5,912.0,25,23,98.76,0.39,v1.2.3,PRJEB2510,,homo sapiens | not known,human,not known,GCF_001236005.1,,Sweden,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
74,GCF_001236285.1,Staphylococcus aureus,homo sapiens,not known,,,,2944,Best-placed reference protein set; GeneMarkS-2+,velvet,SAMEA1030176,ST22,,,Scaffold,6,165986,,32.5,202.0,42,41,98.78,0.39,v1.2.3,PRJEB2510,,homo sapiens | not known,human,not known,GCF_001236285.1,,United Kingdom,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
75,GCF_001236565.1,Staphylococcus aureus,homo sapiens,not known,,,,2921,Best-placed reference protein set; GeneMarkS-2+,velvet,SAMEA1030202,ST22,,,Scaffold,5,245256,,32.5,239.0,38,37,98.82,0.39,v1.2.3,PRJEB2510,,homo sapiens | not known,human,not known,GCF_001236565.1,,United Kingdom,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
76,GCF_001236585.1,Staphylococcus aureus,homo sapiens,not known,,,,2668,Best-placed reference protein set; GeneMarkS-2+,velvet,SAMEA734795,08-01489,,,Scaffold,9,105190,,32.5,55.0,49,44,98.62,0.39,v1.2.4,PRJEB2096,,homo sapiens | not known,human,not known,GCF_001236585.1,,Hungary,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
77,GCF_001236985.1,Staphylococcus aureus,homo sapiens,not known,,,,2776,Best-placed reference protein set; GeneMarkS-2+,velvet,SAMEA734788,07-02994,,,Scaffold,7,139430,,32.5,196.0,35,34,98.69,0.39,v1.2.3,PRJEB2096,,homo sapiens | not known,human,not known,GCF_001236985.1,,Australia,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
78,GCF_001237825.1,Staphylococcus aureus,homo sapiens,not known,,,,2792,Best-placed reference protein set; GeneMarkS-2+,velvet,SAMEA734704,07-00064,,,Scaffold,8,125307,,32.5,115.0,45,42,97.47,0.39,v1.2.3,PRJEB2096,,homo sapiens | not known,human,not known,GCF_001237825.1,,Germany,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
79,GCF_001238005.1,Staphylococcus aureus,homo sapiens,not known,,,,2848,Best-placed reference protein set; GeneMarkS-2+,velvet,SAMEA1030334,ST22,,,Scaffold,4,252950,,32.5,283.0,24,23,98.62,0.39,v1.2.3,PRJEB2510,,homo sapiens | not known,human,not known,GCF_001238005.1,,United Kingdom,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
80,GCF_001238145.1,Staphylococcus aureus,homo sapiens,not known,,,,2788,Best-placed reference protein set; GeneMarkS-2+,velvet,SAMEA734727,04-03100,,,Scaffold,7,150509,,32.5,104.0,42,36,98.82,0.39,v1.2.3,PRJEB2096,,homo sapiens | not known,human,not known,GCF_001238145.1,,Germany,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
81,GCF_001239005.1,Staphylococcus aureus,homo sapiens,not known,,,,2809,Best-placed reference protein set; GeneMarkS-2+,velvet,SAMEA1030282,ST22,,,Scaffold,5,173814,,32.5,170.0,29,27,98.69,0.39,v1.2.3,PRJEB2510,,homo sapiens | not known,human,not known,GCF_001239005.1,,United Kingdom,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
82,GCF_001239145.1,Staphylococcus aureus,homo sapiens,not known,,,,2821,Best-placed reference protein set; GeneMarkS-2+,velvet,SAMEA1030252,ST22,,,Scaffold,5,173928,,32.5,236.0,36,35,98.53,0.39,v1.2.3,PRJEB2510,,homo sapiens | not known,human,not known,GCF_001239145.1,,United Kingdom,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
83,GCF_001239165.1,Staphylococcus aureus,homo sapiens,not known,,,,2812,Best-placed reference protein set; GeneMarkS-2+,velvet,SAMEA734701,07-00309,,,Scaffold,9,119844,,32.5,87.0,45,42,98.03,0.39,v1.2.3,PRJEB2096,,homo sapiens | not known,human,not known,GCF_001239165.1,,Germany,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
84,GCF_001239405.1,Staphylococcus aureus,homo sapiens,not known,,,,2844,Best-placed reference protein set; GeneMarkS-2+,velvet,SAMEA1030204,ST22,,,Scaffold,6,173912,,32.5,197.0,32,31,98.21,0.39,v1.2.3,PRJEB2510,,homo sapiens | not known,human,not known,GCF_001239405.1,,United Kingdom,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
85,GCF_001239525.1,Staphylococcus aureus,homo sapiens,not known,,,,2796,Best-placed reference protein set; GeneMarkS-2+,velvet,SAMEA734700,07-00060,,,Scaffold,8,111209,,32.5,81.0,47,40,97.47,0.39,v1.2.3,PRJEB2096,,homo sapiens | not known,human,not known,GCF_001239525.1,,Germany,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
86,GCF_001262175.1,Staphylococcus aureus,homo sapiens,nasal,,,,2930,Best-placed reference protein set; GeneMarkS-2+,Prokka,SAMEA1324739,USFL297,,,Scaffold,3,304726,,32.5,100.0,31,29,97.99,0.39,v1.2.3,PRJEB2870,,homo sapiens | nasal,human,nasal,GCF_001262175.1,,USA,,nasal,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
87,GCF_001270705.1,Staphylococcus aureus,homo sapiens,nasopharynx sample from patient hs-crs-17,,staphylococcus aureus isolated from a patient with chronic rhinosinusitis and burkholderia pseudomallei investation.,,2752,Best-placed reference protein set; GeneMarkS-2+,CLC Genomic Workbench v. 8.2,SAMN03938521,ST8,,,Scaffold,7,124911,,32.5,50.0,44,31,98.56,0.39,v1.2.3,PRJNA291304,,homo sapiens | nasopharynx sample from patient hs-crs-17 | staphylococcus aureus isolated from a patient with chronic rhinosinusitis and burkholderia pseudomallei investation.,human,nasopharynx sample from patient hs-crs-17 staphylococcus aureus isolated from a patient with chronic rhinosinusitis and burkholderia pseudomallei investation.,GCF_001270705.1,isolated from a patient with chronic rhinosinusitis,Australia,,nasopharynx sample,59,Human,Female,Human,Chronic rhinosinusitis,"Human, Homo sapiens",Homo sapiens
88,GCF_001281145.1,Staphylococcus aureus,homo sapiens,,,,,2795,Best-placed reference protein set; GeneMarkS-2+,Velvet v. 1.3; String Graph Assembler v. 0.10.3,SAMN03267711,SA564,,,Complete Genome,1,2783537,,33.0,3000.0,2,2,98.04,0.39,v1.2.3,PRJNA270620,,homo sapiens,human,,GCF_001281145.1,,Switzerland,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
89,GCF_001296985.1,Staphylococcus aureus,homo sapiens,swab,,,,2802,Best-placed reference protein set; GeneMarkS-2+,SeqManNGen v. 12.1.0,SAMN03267304,GR2,,,Complete Genome,1,2792802,,33.0,,3,3,98.54,0.74,v1.2.3,PRJNA270571,,homo sapiens | swab,human,swab,GCF_001296985.1,,Greece,,Swab,,Human,,Human,Colonization,"Human, Homo sapiens",Homo sapiens
90,GCF_001297375.1,Staphylococcus aureus,homo sapiens,wound,,single colony isolate,,2767,Best-placed reference protein set; GeneMarkS-2+,CLC NGS Cell v. 7.0.4,SAMN03658604,BU_G1074_t4,,,Scaffold,5,174578,,32.5,250.0,38,37,98.12,0.39,v1.2.3,PRJNA283747,,homo sapiens | wound | single colony isolate,human,wound single colony isolate,GCF_001297375.1,,Ghana,,wound,53,Human,Male,Human,Buruli ulcer,"Human, Homo sapiens",Homo sapiens
91,GCF_001297535.1,Staphylococcus aureus,homo sapiens,wound,,single colony isolate,,2758,Best-placed reference protein set; GeneMarkS-2+,CLC NGS Cell v. 7.0.4,SAMN03658598,BU_G1201_t13,,,Scaffold,6,147033,,32.5,250.0,38,36,98.23,0.54,v1.2.3,PRJNA283747,,homo sapiens | wound | single colony isolate,human,wound single colony isolate,GCF_001297535.1,,Ghana,,wound,28,Human,Male,Human,Buruli ulcer,"Human, Homo sapiens",Homo sapiens
92,GCF_001297555.1,Staphylococcus aureus,homo sapiens,nose,,single colony isolate,,2849,Best-placed reference protein set; GeneMarkS-2+,CLC NGS Cell v. 7.0.4,SAMN03658601,BU_N22_t6,,,Scaffold,7,110366,,32.5,250.0,46,45,96.6,0.83,v1.2.3,PRJNA283747,,homo sapiens | nose | single colony isolate,human,nose single colony isolate,GCF_001297555.1,,Ghana,,nose,17,Human,Male,Human,Buruli ulcer,"Human, Homo sapiens",Homo sapiens
93,GCF_001352215.1,Staphylococcus aureus,homo sapiens,soft tissue,,,,3006,Best-placed reference protein set; GeneMarkS-2+,Prokka,SAMEA1324601,USFL341,,,Scaffold,4,304823,,32.5,100.0,46,44,97.91,0.39,v1.2.3,PRJEB2870,,homo sapiens | soft tissue,human,soft tissue,GCF_001352215.1,,USA,,soft tissue,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
94,GCF_001353815.1,Staphylococcus aureus,homo sapiens,household surface,,,,2929,Best-placed reference protein set; GeneMarkS-2+,Prokka,SAMEA1466497,USFL146,,,Scaffold,3,288776,,32.5,100.0,43,42,98.06,0.39,v1.2.3,PRJEB2870,,homo sapiens | household surface,environment,household surface,GCF_001353815.1,,USA,,household surface,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
95,GCF_001354075.1,Staphylococcus aureus,homo sapiens,nasal,,,,2986,Best-placed reference protein set; GeneMarkS-2+,Prokka,SAMEA1466520,USFL177,,,Scaffold,3,287464,,32.5,100.0,38,37,97.99,0.39,v1.2.3,PRJEB2870,,homo sapiens | nasal,human,nasal,GCF_001354075.1,,USA,,nasal,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
96,GCF_001354315.1,Staphylococcus aureus,homo sapiens,nasal,,,,2925,Best-placed reference protein set; GeneMarkS-2+,Prokka,SAMEA1710077,FL362,,,Scaffold,3,345997,,32.5,100.0,25,24,97.99,0.39,v1.2.3,PRJEB2870,,homo sapiens | nasal,human,nasal,GCF_001354315.1,,USA,,nasal,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
97,GCF_001354335.1,Staphylococcus aureus,homo sapiens,nasal,,,,2935,Best-placed reference protein set; GeneMarkS-2+,Prokka,SAMEA1710089,FL357,,,Scaffold,3,347901,,32.5,100.0,27,25,97.99,0.39,v1.2.3,PRJEB2870,,homo sapiens | nasal,human,nasal,GCF_001354335.1,,USA,,nasal,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
98,GCF_001354515.1,Staphylococcus aureus,homo sapiens,nasal,,,,2778,Best-placed reference protein set; GeneMarkS-2+,Prokka,SAMEA1710112,FL355,,,Scaffold,2,852415,,32.5,100.0,32,29,98.66,0.39,v1.2.3,PRJEB2870,,homo sapiens | nasal,human,nasal,GCF_001354515.1,,USA,,nasal,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
99,GCF_001444345.1,Staphylococcus aureus,homo sapiens,blood,,,,2814,Best-placed reference protein set; GeneMarkS-2+,Newbler v. 2.9,SAMN04253017,XQ,,,Complete Genome,1,2803594,,33.0,37.0,1,1,96.85,0.48,v1.2.3,PRJNA301649,,homo sapiens | blood,human,blood,GCF_001444345.1,isolated from a patient with acute skin infections,China,,blood,,Human,,Human,acute skin infections,"Human, Homo sapiens",Homo sapiens
100,GCF_001457495.1,Staphylococcus aureus,homo sapiens,skin abscess,,,,2793,Best-placed reference protein set; GeneMarkS-2+,Prokka,SAMEA2479566,NCTC13435,,,Complete Genome,1,2797452,,33.0,100.0,3,3,98.48,0.62,v1.2.4,PRJEB6403,,homo sapiens | skin abscess,human,skin abscess,GCF_001457495.1,,United Kingdom,,skin abscess,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
101,GCF_001465635.1,Staphylococcus aureus,homo sapiens,unavailable,,,,2745,Best-placed reference protein set; GeneMarkS-2+,CLC Genomics Workbench v. version 8.5.1,SAMN04325935,RIVM1295,,,Complete Genome,1,2777077,,33.0,,3,3,98.09,0.3,v1.2.3,PRJNA305475,,homo sapiens | unavailable,human,unavailable,GCF_001465635.1,,Netherlands,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
102,GCF_001465675.1,Staphylococcus aureus,homo sapiens,unavailable,,,,2711,Best-placed reference protein set; GeneMarkS-2+,CLC Genomics Workbench v. version 8.5.1,SAMN04325938,RIVM1607,,,Complete Genome,1,2769573,,33.0,,2,2,98.11,0.39,v1.2.3,PRJNA305475,,homo sapiens | unavailable,human,unavailable,GCF_001465675.1,,Netherlands,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
103,GCF_001465755.1,Staphylococcus aureus,homo sapiens,unavailable,,,,2891,Best-placed reference protein set; GeneMarkS-2+,CLC Genomics Workbench v. version 8.5.1,SAMN04325940,RIVM3897,,,Complete Genome,1,2894543,,33.0,,1,1,98.76,0.41,v1.2.3,PRJNA305475,,homo sapiens | unavailable,human,unavailable,GCF_001465755.1,,Netherlands,,,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
104,GCF_001515665.1,Staphylococcus aureus,,from patient with pneumonia,,,,3029,Best-placed reference protein set; GeneMarkS-2+,Newbler v. 2.5,SAMN03835466,Gv51,,,Complete Genome,1,2987124,,33.0,22.0,2,2,97.57,0.47,v1.2.3,PRJNA288680,,from patient with pneumonia,,,GCF_001515665.1,"isolated from the bronchial lavage of ahospitalized patient with pneumonia in Teresina, PI, Brazil in 1997",Brazil,,From patient with pneumonia,,Human,,Human,pneumonia,"Human, Homo sapiens",Homo sapiens
105,GCF_001515685.1,Staphylococcus aureus,homo sapiens,from patient with blood stream infection,,,,3033,Best-placed reference protein set; GeneMarkS-2+,Newbler v. 2.5,SAMN03765155,Be62,,,Complete Genome,1,2998480,,33.0,30.0,2,2,97.79,0.47,v1.2.3,PRJNA286121,,homo sapiens | from patient with blood stream infection,human,from patient with blood stream infection,GCF_001515685.1,"isolated from bloodstream infection of a hospitalized patient in Bel�m, PA, Brazil in 1996",Brazil,,From patient with blood stream infection,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
106,GCF_001515705.1,Staphylococcus aureus,,from patient with wound infection,,,,3029,Best-placed reference protein set; GeneMarkS-2+,Newbler v. 2.5,SAMN03835488,Gv88,,,Complete Genome,1,2988028,,33.0,32.0,2,2,97.86,0.47,v1.2.3,PRJNA288682,,from patient with wound infection,,,GCF_001515705.1,"isolated from a hospitalized patient presented with wound infection in Teresina, PI, Brazil in 1997",Brazil,,From patient with wound infection,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
107,GCF_001515745.1,Staphylococcus aureus,,from patient ssociated to home care assistance,,,,3099,Best-placed reference protein set; GeneMarkS-2+,Newbler v. 2.5,SAMN03835492,HC1340,,,Complete Genome,1,3046545,,33.0,32.0,1,1,98.15,0.51,v1.2.3,PRJNA288685,,from patient ssociated to home care assistance,,,GCF_001515745.1,"isolated from nasal colonization of apatient associated to Home Care assistancein Rio de Janeiro, RJ,Brazil, in 2001",Brazil,,From patient ssociated to Home Care assistance,,,,,,,
108,GCF_001515765.1,Staphylococcus aureus,,from patient ssociated to home care assistance,,,,3010,Best-placed reference protein set; GeneMarkS-2+,,SAMN03835494,HC1335,,,Complete Genome,1,2976370,,33.0,,1,1,96.49,0.47,v1.2.3,PRJNA288686,,from patient ssociated to home care assistance,,,GCF_001515765.1,"isolated from nasal colonization of apatient associated to Home Care assistance in Rio de Janeiro, RJ,Brazil, in 2001",Brazil,,From patient ssociated to Home Care assistance,,,,,,,
109,GCF_001548295.1,Staphylococcus aureus,,,,keywords: gsc:mixs;migs:6.0,,2785,Best-placed reference protein set; GeneMarkS-2+,HGAP3,SAMD00039082,FDA209P,,,Complete Genome,1,2775733,,33.0,300.0,2,2,98.15,0.54,v1.2.3,PRJDB4160,,keywords: gsc:mixs;migs:6.0,,,GCF_001548295.1,isolated from human prior to antibiotics introduction,,,human prior to antibiotics introduction,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
110,GCF_001548415.1,Staphylococcus aureus,homo sapiens,,,keywords: gsc:mixs;migs:6.0,,2933,Best-placed reference protein set; GeneMarkS-2+,HGAP3,SAMD00044982,MI,,,Complete Genome,1,2860370,,33.0,300.0,2,2,98.87,0.45,v1.2.3,PRJDB4467,,homo sapiens | keywords: gsc:mixs;migs:6.0,human,keywords: gsc:mixs;migs:6.0,GCF_001548415.1,,USA,,human peritoneal fluid,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
111,GCF_001549655.1,Staphylococcus aureus,,,,keywords: gsc:mixs;migs:6.0,,2747,Best-placed reference protein set; GeneMarkS-2+,GS De Novo Assembler v. 3.0,SAMD00020283,TMUS2126,,,Complete Genome,1,2770164,,33.0,,1,1,98.43,0.39,v1.2.3,PRJDB3193,,keywords: gsc:mixs;migs:6.0,,,GCF_001549655.1,,,,,,,,,,,
112,GCF_001549675.1,Staphylococcus aureus,,,,keywords: gsc:mixs;migs:6.0,,2748,Best-placed reference protein set; GeneMarkS-2+,GS De Novo Assembler v. 3.0,SAMD00020284,TMUS2134,,,Complete Genome,1,2770164,,33.0,,1,1,98.43,0.39,v1.2.3,PRJDB3193,,keywords: gsc:mixs;migs:6.0,,,GCF_001549675.1,,,,,,,,,,,
113,GCF_001580495.1,Staphylococcus aureus,homo sapiens,sputum,,,,2810,Best-placed reference protein set; GeneMarkS-2+,CLCbio CLC Genomics Workbench v. 7.5; PacBio SMRT Analysis v. 2.3.0,SAMN03387935,FORC_012,,,Complete Genome,1,2815416,,33.0,575.78,1,1,98.72,0.48,v1.2.3,PRJNA277068,,homo sapiens | sputum,human,sputum,GCF_001580495.1,isolated from the contaminated food in South Korea,South Korea,,Sputum,,Human,,Human,"Pyrexy, diarrhea","Human, Homo sapiens",Homo sapiens
114,GCF_001580515.1,Staphylococcus aureus,homo sapiens,usa: dallas texas,,this reference strain was isolated from a 12 year plus 11 month old female who sustained a minor trauma to her pelvis. the aim of the study was to study the complete genome sequence of this methicillin-resistant staphylococcus aureus isolate responsible for disseminated infection in this adolescent female.,,3080,Best-placed reference protein set; GeneMarkS-2+,SMRT Analysis HGAP v. 2.0.1,SAMN04254471,UTSW MRSA 55,,,Complete Genome,1,2898306,,32.5,955.0,5,5,97.99,1.6,v1.2.2,PRJNA273427,,homo sapiens | usa: dallas texas | this reference strain was isolated from a 12 year plus 11 month old female who sustained a minor trauma to her pelvis. the aim of the study was to study the complete genome sequence of this methicillin-resistant staphylococcus aureus isolate responsible for disseminated infection in this adolescent female.,human,usa: dallas texas this reference strain was isolated from a 12 year plus 11 month old female who sustained a minor trauma to her pelvis. the aim of the study was to study the complete genome sequence of this methicillin-resistant staphylococcus aureus isolate responsible for disseminated infection in this adolescent female.,GCF_001580515.1,isolated from a 12 year plus 11 month old female,USA,,blood,12 year plus 11 month,Human,Female,Human,Osteomyelitis,"Human, Homo sapiens",Homo sapiens
115,GCF_001725965.1,Staphylococcus aureus,homo sapiens,blood,,methillin-resistant staphylococcus aureus is one of the well-known food-borne pathogen. it was isolated from blood of foodborne poisoning patient in south korea.,,2920,Best-placed reference protein set; GeneMarkS-2+,CLCbio CLC Genomics Workbench v. 7.5.1; PacBio SMRT Analysis v. 2.3.0,SAMN04046233,FORC_027,,,Complete Genome,1,2903376,,33.0,800.06,1,1,98.54,0.39,v1.2.3,PRJNA295337,,homo sapiens | blood | methillin-resistant staphylococcus aureus is one of the well-known food-borne pathogen. it was isolated from blood of foodborne poisoning patient in south korea.,food,blood methillin-resistant staphylococcus aureus is one of the well-known food-borne pathogen. it was isolated from blood of foodborne poisoning patient in south korea.,GCF_001725965.1,isolated from blood of foodborne poisoning patient in South Korea,South Korea,,blood,,Human,,Human,,"Human, Homo sapiens",Homo sapiens
