Assembly Accession	Organism Name	Assembly BioSample Host	Assembly BioSample Isolation source	Assembly BioSample Source type	Assembly BioSample Description Comment	Annotation BUSCO Complete	Annotation Count Gene Total	Annotation Method	Assembly Assembly Method	Assembly BioSample Accession	Assembly BioSample Strain	Assembly BioSample Sub-species	Assembly BioSample Tissue	Assembly Level	Assembly Stats Contig L50	Assembly Stats Contig N50	Assembly Stats Gaps Between Scaffolds Count	Assembly Stats GC Percent	Assembly Stats Genome Coverage	Assembly Stats Number of Contigs	Assembly Stats Number of Scaffolds	CheckM completeness	CheckM contamination	CheckM version	Assembly BioProject Accession	Assembly BioSample Age	host_text	cleaned_host
GCF_001195105.1	Staphylococcus aureus	canine	not known	NA	NA	NA	2744	Best-placed reference protein set; GeneMarkS-2+	Prokka	SAMEA1463435	BSAR163_2	NA	NA	Scaffold	5	163552	NA	32.5	100	46	45	98.62	0.39	v1.2.4	PRJEB2655	NA	canine | not known	dog
GCF_001195205.1	Staphylococcus aureus	canine	granuloma	NA	NA	NA	2803	Best-placed reference protein set; GeneMarkS-2+	Prokka	SAMEA1463416	BSAR160_2	NA	NA	Scaffold	4	255500	NA	32.5	100	33	32	98.7	0.39	v1.2.4	PRJEB2655	NA	canine | granuloma	dog
GCF_001196435.1	Staphylococcus aureus	homo sapiens	nasal	NA	NA	NA	2927	Best-placed reference protein set; GeneMarkS-2+	Prokka	SAMEA1710115	FL363	NA	NA	Scaffold	4	326387	NA	32.5	100	25	22	97.99	0.39	v1.2.3	PRJEB2870	NA	homo sapiens | nasal	human
GCF_001200875.1	Staphylococcus aureus	homo sapiens	nasal	NA	NA	NA	2891	Best-placed reference protein set; GeneMarkS-2+	Prokka	SAMEA1710079	FL367	NA	NA	Scaffold	3	455052	NA	32.5	100	24	23	97.99	0.39	v1.2.3	PRJEB2870	NA	homo sapiens | nasal	human
GCF_001201535.1	Staphylococcus aureus	homo sapiens	nasal	NA	NA	NA	2749	Best-placed reference protein set; GeneMarkS-2+	Prokka	SAMEA1710085	FL385	NA	NA	Scaffold	6	172444	NA	32.5	100	44	42	98.57	0.39	v1.2.3	PRJEB2870	NA	homo sapiens | nasal	human
GCF_001202595.1	Staphylococcus aureus	homo sapiens	nasal	NA	NA	NA	2925	Best-placed reference protein set; GeneMarkS-2+	Prokka	SAMEA1710084	FL356	NA	NA	Scaffold	3	346348	NA	32.5	100	31	30	97.87	0.39	v1.2.4	PRJEB2870	NA	homo sapiens | nasal	human
GCF_001203975.1	Staphylococcus aureus	homo sapiens	blood	NA	NA	NA	2746	Best-placed reference protein set; GeneMarkS-2+	Prokka	SAMEA1033436	BSAR57	NA	NA	Scaffold	6	154283	NA	32.5	100	36	34	98.45	0.74	v1.2.4	PRJEB2655	NA	homo sapiens | blood	human
GCF_001204955.1	Staphylococcus aureus	homo sapiens	nasal	NA	NA	NA	2885	Best-placed reference protein set; GeneMarkS-2+	Prokka	SAMEA1710087	FL371	NA	NA	Scaffold	2	825403	NA	32.5	100	21	18	98.57	0.39	v1.2.3	PRJEB2870	NA	homo sapiens | nasal	human
GCF_001205315.1	Staphylococcus aureus	homo sapiens	nasal	NA	NA	NA	2895	Best-placed reference protein set; GeneMarkS-2+	Prokka	SAMEA1710076	FL366	NA	NA	Scaffold	2	664044	NA	32.5	100	21	20	97.99	0.39	v1.2.3	PRJEB2870	NA	homo sapiens | nasal	human
GCF_001208805.1	Staphylococcus aureus	homo sapiens	nasal	NA	NA	NA	2960	Best-placed reference protein set; GeneMarkS-2+	Prokka	SAMEA1324762	USFL298	NA	NA	Scaffold	2	629376	NA	32.5	100	24	20	97.99	0.6	v1.2.3	PRJEB2870	NA	homo sapiens | nasal	human
GCF_001210685.1	Staphylococcus aureus	homo sapiens	nasal	NA	NA	NA	2938	Best-placed reference protein set; GeneMarkS-2+	Prokka	SAMEA1710078	FL359	NA	NA	Scaffold	3	346482	NA	32.5	100	34	32	97.99	0.39	v1.2.3	PRJEB2870	NA	homo sapiens | nasal	human
GCF_001211065.1	Staphylococcus aureus	homo sapiens	nasal	NA	NA	NA	2992	Best-placed reference protein set; GeneMarkS-2+	Prokka	SAMEA1710113	FL364	NA	NA	Scaffold	4	346504	NA	32.5	100	26	24	97.99	0.39	v1.2.3	PRJEB2870	NA	homo sapiens | nasal	human
GCF_001211625.1	Staphylococcus aureus	homo sapiens	soft tissue	NA	NA	NA	2969	Best-placed reference protein set; GeneMarkS-2+	Prokka	SAMEA1324585	USFL016	NA	NA	Scaffold	2	567822	NA	32.5	100	26	24	97.99	0.39	v1.2.3	PRJEB2870	NA	homo sapiens | soft tissue	human
GCF_001212665.1	Staphylococcus aureus	homo sapiens	nasal	NA	NA	NA	3000	Best-placed reference protein set; GeneMarkS-2+	Prokka	SAMEA1710080	FL360	NA	NA	Scaffold	3	346438	NA	32.5	100	30	29	97.99	0.39	v1.2.3	PRJEB2870	NA	homo sapiens | nasal	human
GCF_001223645.1	Staphylococcus aureus	homo sapiens	not known	NA	NA	NA	2749	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA734692	07-01744	NA	NA	Scaffold	7	123684	NA	32.5	143	41	37	98.76	0.39	v1.2.4	PRJEB2096	NA	homo sapiens | not known	human
GCF_001223865.1	Staphylococcus aureus	homo sapiens	not known	NA	NA	NA	2735	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA1030182	ST22	NA	NA	Scaffold	4	251691	NA	32.5	158	35	34	98.82	0.39	v1.2.3	PRJEB2510	NA	homo sapiens | not known	human
GCF_001224045.1	Staphylococcus aureus	homo sapiens	not known	NA	NA	NA	2759	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA734786	07-02992	NA	NA	Scaffold	7	125491	NA	32.5	70	40	39	98.82	0.39	v1.2.4	PRJEB2096	NA	homo sapiens | not known	human
GCF_001224085.1	Staphylococcus aureus	homo sapiens	not known	NA	NA	NA	2710	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA1030156	ST22	NA	NA	Scaffold	4	194546	NA	32.5	178	33	31	98.23	0.39	v1.2.3	PRJEB2510	NA	homo sapiens | not known	human
GCF_001224165.1	Staphylococcus aureus	homo sapiens	not known	NA	NA	NA	2775	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA734724	08-01668	NA	NA	Scaffold	10	86741	NA	32.5	63	49	48	98.23	0.39	v1.2.3	PRJEB2096	NA	homo sapiens | not known	human
GCF_001225545.1	Staphylococcus aureus	homo sapiens	not known	NA	NA	NA	2736	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA734721	09-00683	NA	NA	Scaffold	9	109567	NA	32.5	98	46	42	97.92	0.39	v1.2.3	PRJEB2096	NA	homo sapiens | not known	human
GCF_001225625.1	Staphylococcus aureus	homo sapiens	not known	NA	NA	NA	2725	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA1030281	ST22	NA	NA	Scaffold	5	154504	NA	32.5	217	37	35	98.17	0.39	v1.2.3	PRJEB2510	NA	homo sapiens | not known	human
GCF_001225705.1	Staphylococcus aureus	homo sapiens	not known	NA	NA	NA	2907	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA1030187	ST22	NA	NA	Scaffold	6	146391	NA	32.5	282	37	35	98.82	0.39	v1.2.3	PRJEB2510	NA	homo sapiens | not known	human
GCF_001225865.1	Staphylococcus aureus	homo sapiens	not known	NA	NA	NA	2806	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA734698	07-00062	NA	NA	Scaffold	8	125325	NA	32.5	104	43	39	97.47	0.39	v1.2.4	PRJEB2096	NA	homo sapiens | not known	human
GCF_001225945.1	Staphylococcus aureus	homo sapiens	not known	NA	NA	NA	2829	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA734690	07-02088	NA	NA	Scaffold	7	140979	NA	32.5	177	43	38	98.82	0.51	v1.2.3	PRJEB2096	NA	homo sapiens | not known	human
GCF_001225965.1	Staphylococcus aureus	homo sapiens	not known	NA	NA	NA	2820	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA734778	07-03350	NA	NA	Scaffold	8	125316	NA	32.5	65	48	46	98.74	0.39	v1.2.4	PRJEB2096	NA	homo sapiens | not known	human
GCF_001226125.1	Staphylococcus aureus	homo sapiens	not known	NA	NA	NA	2784	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA734702	06-02751	NA	NA	Scaffold	9	106544	NA	32.5	84	46	42	98.33	0.39	v1.2.3	PRJEB2096	NA	homo sapiens | not known	human
GCF_001226445.1	Staphylococcus aureus	homo sapiens	not known	NA	NA	NA	2781	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA734780	08-00602	NA	NA	Scaffold	7	125491	NA	32.5	69	43	40	98.82	0.39	v1.2.3	PRJEB2096	NA	homo sapiens | not known	human
GCF_001226465.1	Staphylococcus aureus	homo sapiens	not known	NA	NA	NA	2949	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA1030179	ST22	NA	NA	Scaffold	6	173932	NA	32.5	491	39	37	98.72	0.39	v1.2.3	PRJEB2510	NA	homo sapiens | not known	human
GCF_001226565.1	Staphylococcus aureus	homo sapiens	not known	NA	NA	NA	2797	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA1030213	ST22	NA	NA	Scaffold	5	161972	NA	32.5	297	34	32	98.7	0.39	v1.2.3	PRJEB2510	NA	homo sapiens | not known	human
GCF_001226785.1	Staphylococcus aureus	homo sapiens	not known	NA	NA	NA	2689	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA734708	06-01347	NA	NA	Scaffold	6	138641	NA	32.5	84	40	38	98.15	0.39	v1.2.4	PRJEB2096	NA	homo sapiens | not known	human
GCF_001227105.1	Staphylococcus aureus	homo sapiens	not known	NA	NA	NA	2789	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA734746	07-03346	NA	NA	Scaffold	6	150508	NA	32.5	61	45	42	98.62	0.39	v1.2.4	PRJEB2096	NA	homo sapiens | not known	human
GCF_001227685.1	Staphylococcus aureus	homo sapiens	not known	NA	NA	NA	2908	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA1030146	ST22	NA	NA	Scaffold	7	165424	NA	32.5	270	42	40	98.78	0.39	v1.2.3	PRJEB2510	NA	homo sapiens | not known	human
GCF_001227925.1	Staphylococcus aureus	homo sapiens	not known	NA	NA	NA	2750	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA734691	07-01932	NA	NA	Scaffold	7	127159	NA	32.5	152	48	39	98.54	0.39	v1.2.3	PRJEB2096	NA	homo sapiens | not known	human
GCF_001228025.1	Staphylococcus aureus	homo sapiens	not known	NA	NA	NA	2817	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA1030316	ST22	NA	NA	Scaffold	6	169626	NA	32.5	226	39	38	98.82	0.39	v1.2.3	PRJEB2510	NA	homo sapiens | not known	human
GCF_001228085.1	Staphylococcus aureus	homo sapiens	not known	NA	NA	NA	2824	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA1030288	ST22	NA	NA	Scaffold	4	252957	NA	32.5	310	27	26	98.82	0.39	v1.2.3	PRJEB2510	NA	homo sapiens | not known	human
GCF_001228345.1	Staphylococcus aureus	homo sapiens	not known	NA	NA	NA	2800	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA1030246	ST22	NA	NA	Scaffold	5	252951	NA	32.5	197	29	27	98.82	0.39	v1.2.3	PRJEB2510	NA	homo sapiens | not known	human
GCF_001228385.1	Staphylococcus aureus	homo sapiens	not known	NA	NA	NA	2769	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA734683	07-01319	NA	NA	Scaffold	8	120457	NA	32.5	72	42	37	98.33	0.39	v1.2.3	PRJEB2096	NA	homo sapiens | not known	human
GCF_001228505.1	Staphylococcus aureus	homo sapiens	not known	NA	NA	NA	2782	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA1030141	ST22	NA	NA	Scaffold	4	219117	NA	32.5	136	29	26	98.8	0.39	v1.2.3	PRJEB2510	NA	homo sapiens | not known	human
GCF_001228765.1	Staphylococcus aureus	homo sapiens	not known	NA	NA	NA	2793	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA734697	07-00061	NA	NA	Scaffold	7	125309	NA	32.5	107	44	42	97.47	0.39	v1.2.3	PRJEB2096	NA	homo sapiens | not known	human
GCF_001229165.1	Staphylococcus aureus	homo sapiens	not known	NA	NA	NA	2703	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA734685	03-00397	NA	NA	Scaffold	9	108373	NA	32.5	72	45	42	98.82	0.39	v1.2.3	PRJEB2096	NA	homo sapiens | not known	human
GCF_001229205.1	Staphylococcus aureus	homo sapiens	not known	NA	NA	NA	2821	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA1030188	ST22	NA	NA	Scaffold	6	145293	NA	32.5	259	37	36	98.71	0.41	v1.2.3	PRJEB2510	NA	homo sapiens | not known	human
GCF_001229305.1	Staphylococcus aureus	homo sapiens	not known	NA	NA	NA	2831	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA1030245	ST22	NA	NA	Scaffold	4	252586	NA	32.5	229	31	30	96.67	0.39	v1.2.3	PRJEB2510	NA	homo sapiens | not known	human
GCF_001229405.1	Staphylococcus aureus	homo sapiens	not known	NA	NA	NA	2845	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA1030214	ST22	NA	NA	Scaffold	6	125389	NA	32.5	165	39	38	98.23	0.39	v1.2.3	PRJEB2510	NA	homo sapiens | not known	human
GCF_001229525.1	Staphylococcus aureus	homo sapiens	not known	NA	NA	NA	2827	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA734743	07-03351	NA	NA	Scaffold	7	132607	NA	32.5	62	45	42	98.74	0.39	v1.2.4	PRJEB2096	NA	homo sapiens | not known	human
GCF_001229705.1	Staphylococcus aureus	homo sapiens	not known	NA	NA	NA	2803	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA1030192	ST22	NA	NA	Scaffold	5	236561	NA	32.5	146	28	27	98.82	0.39	v1.2.3	PRJEB2510	NA	homo sapiens | not known	human
GCF_001229865.1	Staphylococcus aureus	homo sapiens	not known	NA	NA	NA	2805	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA1030313	ST22	NA	NA	Scaffold	6	153749	NA	32.5	281	37	35	98.82	0.42	v1.2.3	PRJEB2510	NA	homo sapiens | not known	human
GCF_001230005.1	Staphylococcus aureus	homo sapiens	not known	NA	NA	NA	2853	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA1030227	ST22	NA	NA	Scaffold	5	219121	NA	32.5	336	33	32	98.82	0.39	v1.2.3	PRJEB2510	NA	homo sapiens | not known	human
GCF_001230105.1	Staphylococcus aureus	homo sapiens	not known	NA	NA	NA	2839	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA1030331	ST22	NA	NA	Scaffold	5	163306	NA	32.5	165	35	33	98.79	0.39	v1.2.3	PRJEB2510	NA	homo sapiens | not known	human
GCF_001231305.1	Staphylococcus aureus	homo sapiens	not known	NA	NA	NA	2782	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA734695	06-02459	NA	NA	Scaffold	8	120051	NA	32.5	59	44	41	98.33	0.39	v1.2.3	PRJEB2096	NA	homo sapiens | not known	human
GCF_001231525.1	Staphylococcus aureus	homo sapiens	not known	NA	NA	NA	2806	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA734684	07-00655	NA	NA	Scaffold	9	125323	NA	32.5	76	49	46	98.82	0.39	v1.2.3	PRJEB2096	NA	homo sapiens | not known	human
GCF_001231565.1	Staphylococcus aureus	homo sapiens	not known	NA	NA	NA	2811	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA734720	04-03111	NA	NA	Scaffold	10	106502	NA	32.5	92	46	44	98.23	0.39	v1.2.4	PRJEB2096	NA	homo sapiens | not known	human
GCF_001231805.1	Staphylococcus aureus	homo sapiens	not known	NA	NA	NA	2863	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA1030317	ST22	NA	NA	Scaffold	5	176752	NA	32.5	204	33	31	98.77	0.39	v1.2.3	PRJEB2510	NA	homo sapiens | not known	human
GCF_001231865.1	Staphylococcus aureus	homo sapiens	not known	NA	NA	NA	2717	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA1030198	ST22	NA	NA	Scaffold	4	218750	NA	32.5	172	27	26	98.78	0.39	v1.2.3	PRJEB2510	NA	homo sapiens | not known	human
GCF_001232345.1	Staphylococcus aureus	homo sapiens	not known	NA	NA	NA	2799	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA734679	09-01244	NA	NA	Scaffold	7	140197	NA	32.5	84	42	41	98.82	0.39	v1.2.4	PRJEB2096	NA	homo sapiens | not known	human
GCF_001232845.1	Staphylococcus aureus	homo sapiens	not known	NA	NA	NA	2912	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA1030237	ST22	NA	NA	Scaffold	6	170535	NA	32.5	231	39	38	98.82	0.41	v1.2.3	PRJEB2510	NA	homo sapiens | not known	human
GCF_001232985.1	Staphylococcus aureus	homo sapiens	not known	NA	NA	NA	2806	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA1030209	ST22	NA	NA	Scaffold	4	296549	NA	32.5	352	33	32	98.62	0.39	v1.2.3	PRJEB2510	NA	homo sapiens | not known	human
GCF_001233145.1	Staphylococcus aureus	homo sapiens	not known	NA	NA	NA	2806	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA1030255	ST22	NA	NA	Scaffold	5	173928	NA	32.5	329	32	31	98.77	0.34	v1.2.3	PRJEB2510	NA	homo sapiens | not known	human
GCF_001233485.1	Staphylococcus aureus	homo sapiens	not known	NA	NA	NA	2834	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA1030170	ST22	NA	NA	Scaffold	5	173947	NA	32.5	476	34	33	98.82	0.39	v1.2.3	PRJEB2510	NA	homo sapiens | not known	human
GCF_001233525.1	Staphylococcus aureus	homo sapiens	not known	NA	NA	NA	2912	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA1030319	ST22	NA	NA	Scaffold	5	173892	NA	32.5	344	29	28	98.82	0.39	v1.2.3	PRJEB2510	NA	homo sapiens | not known	human
GCF_001233605.1	Staphylococcus aureus	homo sapiens	not known	NA	NA	NA	2922	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA1030328	ST22	NA	NA	Scaffold	6	166111	NA	32.5	234	40	37	98.82	0.39	v1.2.3	PRJEB2510	NA	homo sapiens | not known	human
GCF_001233885.1	Staphylococcus aureus	homo sapiens	not known	NA	NA	NA	2776	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA734769	07-02987	NA	NA	Scaffold	9	108436	NA	32.5	102	42	40	98.82	0.39	v1.2.3	PRJEB2096	NA	homo sapiens | not known	human
GCF_001234905.1	Staphylococcus aureus	homo sapiens	not known	NA	NA	NA	2765	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA734711	06-01583	NA	NA	Scaffold	5	227387	NA	32.5	93	34	33	98.82	0.39	v1.2.3	PRJEB2096	NA	homo sapiens | not known	human
GCF_001235025.1	Staphylococcus aureus	homo sapiens	not known	NA	NA	NA	2832	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA1030169	ST22	NA	NA	Scaffold	5	178395	NA	32.5	153	27	26	98.75	0.39	v1.2.3	PRJEB2510	NA	homo sapiens | not known	human
GCF_001236005.1	Staphylococcus aureus	homo sapiens	not known	NA	NA	NA	2813	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA1030264	ST22	NA	NA	Scaffold	5	173947	NA	32.5	912	25	23	98.76	0.39	v1.2.3	PRJEB2510	NA	homo sapiens | not known	human
GCF_001236285.1	Staphylococcus aureus	homo sapiens	not known	NA	NA	NA	2944	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA1030176	ST22	NA	NA	Scaffold	6	165986	NA	32.5	202	42	41	98.78	0.39	v1.2.3	PRJEB2510	NA	homo sapiens | not known	human
GCF_001236565.1	Staphylococcus aureus	homo sapiens	not known	NA	NA	NA	2921	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA1030202	ST22	NA	NA	Scaffold	5	245256	NA	32.5	239	38	37	98.82	0.39	v1.2.3	PRJEB2510	NA	homo sapiens | not known	human
GCF_001236585.1	Staphylococcus aureus	homo sapiens	not known	NA	NA	NA	2668	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA734795	08-01489	NA	NA	Scaffold	9	105190	NA	32.5	55	49	44	98.62	0.39	v1.2.4	PRJEB2096	NA	homo sapiens | not known	human
GCF_001236985.1	Staphylococcus aureus	homo sapiens	not known	NA	NA	NA	2776	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA734788	07-02994	NA	NA	Scaffold	7	139430	NA	32.5	196	35	34	98.69	0.39	v1.2.3	PRJEB2096	NA	homo sapiens | not known	human
GCF_001237825.1	Staphylococcus aureus	homo sapiens	not known	NA	NA	NA	2792	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA734704	07-00064	NA	NA	Scaffold	8	125307	NA	32.5	115	45	42	97.47	0.39	v1.2.3	PRJEB2096	NA	homo sapiens | not known	human
GCF_001238005.1	Staphylococcus aureus	homo sapiens	not known	NA	NA	NA	2848	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA1030334	ST22	NA	NA	Scaffold	4	252950	NA	32.5	283	24	23	98.62	0.39	v1.2.3	PRJEB2510	NA	homo sapiens | not known	human
GCF_001238145.1	Staphylococcus aureus	homo sapiens	not known	NA	NA	NA	2788	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA734727	04-03100	NA	NA	Scaffold	7	150509	NA	32.5	104	42	36	98.82	0.39	v1.2.3	PRJEB2096	NA	homo sapiens | not known	human
GCF_001239005.1	Staphylococcus aureus	homo sapiens	not known	NA	NA	NA	2809	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA1030282	ST22	NA	NA	Scaffold	5	173814	NA	32.5	170	29	27	98.69	0.39	v1.2.3	PRJEB2510	NA	homo sapiens | not known	human
GCF_001239145.1	Staphylococcus aureus	homo sapiens	not known	NA	NA	NA	2821	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA1030252	ST22	NA	NA	Scaffold	5	173928	NA	32.5	236	36	35	98.53	0.39	v1.2.3	PRJEB2510	NA	homo sapiens | not known	human
GCF_001239165.1	Staphylococcus aureus	homo sapiens	not known	NA	NA	NA	2812	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA734701	07-00309	NA	NA	Scaffold	9	119844	NA	32.5	87	45	42	98.03	0.39	v1.2.3	PRJEB2096	NA	homo sapiens | not known	human
GCF_001239405.1	Staphylococcus aureus	homo sapiens	not known	NA	NA	NA	2844	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA1030204	ST22	NA	NA	Scaffold	6	173912	NA	32.5	197	32	31	98.21	0.39	v1.2.3	PRJEB2510	NA	homo sapiens | not known	human
GCF_001239525.1	Staphylococcus aureus	homo sapiens	not known	NA	NA	NA	2796	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA734700	07-00060	NA	NA	Scaffold	8	111209	NA	32.5	81	47	40	97.47	0.39	v1.2.3	PRJEB2096	NA	homo sapiens | not known	human
GCF_001239545.1	Staphylococcus aureus	homo sapiens	not known	NA	NA	NA	2799	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA734699	07-00059	NA	NA	Scaffold	7	125318	NA	32.5	111	42	38	97.47	0.39	v1.2.3	PRJEB2096	NA	homo sapiens | not known	human
GCF_001262175.1	Staphylococcus aureus	homo sapiens	nasal	NA	NA	NA	2930	Best-placed reference protein set; GeneMarkS-2+	Prokka	SAMEA1324739	USFL297	NA	NA	Scaffold	3	304726	NA	32.5	100	31	29	97.99	0.39	v1.2.3	PRJEB2870	NA	homo sapiens | nasal	human
GCF_001270705.1	Staphylococcus aureus	homo sapiens	nasopharynx sample from patient hs-crs-17	NA	staphylococcus aureus isolated from a patient with chronic rhinosinusitis and burkholderia pseudomallei investation.	NA	2752	Best-placed reference protein set; GeneMarkS-2+	CLC Genomic Workbench v. 8.2	SAMN03938521	ST8	NA	NA	Scaffold	7	124911	NA	32.5	50	44	31	98.56	0.39	v1.2.3	PRJNA291304	NA	homo sapiens | nasopharynx sample from patient hs-crs-17 | staphylococcus aureus isolated from a patient with chronic rhinosinusitis and burkholderia pseudomallei investation.	human
GCF_001278745.1	Staphylococcus aureus	homo sapiens	blood	NA	vancomycin resistant methycillin susceptible staphylococcus aureus. pacbio.	NA	2914	Best-placed reference protein set; GeneMarkS-2+	HGAP2 v. 2.1	SAMN03093451	HOU1444-VR	NA	NA	Complete Genome	1	2798705	NA	33	81	4	4	98.38	0.41	v1.2.3	PRJNA262896	NA	homo sapiens | blood | vancomycin resistant methycillin susceptible staphylococcus aureus. pacbio.	human
