Assembly Accession	Organism Name	Assembly BioSample Host	Assembly BioSample Isolation source	Assembly BioSample Source type	Assembly BioSample Description Comment	Annotation BUSCO Complete	Annotation Count Gene Total	Annotation Method	Assembly Assembly Method	Assembly BioSample Accession	Assembly BioSample Strain	Assembly BioSample Sub-species	Assembly BioSample Tissue	Assembly Level	Assembly Stats Contig L50	Assembly Stats Contig N50	Assembly Stats Gaps Between Scaffolds Count	Assembly Stats GC Percent	Assembly Stats Genome Coverage	Assembly Stats Number of Contigs	Assembly Stats Number of Scaffolds	CheckM completeness	CheckM contamination	CheckM version	Assembly BioProject Accession	Assembly BioSample Age
GCF_001062495.1	Staphylococcus aureus	Homo sapiens	missing				2806	Best-placed reference protein set; GeneMarkS-2+	ABYSS v. 1.3.5	SAMN03197229	1261_SAUR			Scaffold	16	53886		32.5	44	148	147	98.23	0.39	v1.2.3	PRJNA267549	
GCF_001062615.1	Staphylococcus aureus	Homo sapiens	missing				2768	Best-placed reference protein set; GeneMarkS-2+	ABYSS v. 1.3.5	SAMN03197263	1291_SAUR			Scaffold	16	54524		32.5	14	139	138	98.63	0.47	v1.2.3	PRJNA267549	
GCF_001062705.1	Staphylococcus aureus	Homo sapiens	missing				2729	Best-placed reference protein set; GeneMarkS-2+	ABYSS v. 1.3.5	SAMN03197296	1319_SAUR			Scaffold	17	51180		32.5	24	118	117	96.45	0.41	v1.2.3	PRJNA267549	
GCF_001062735.1	Staphylococcus aureus	Homo sapiens	missing				2739	Best-placed reference protein set; GeneMarkS-2+	ABYSS v. 1.3.5	SAMN03197302	1322_SAUR			Scaffold	11	76437		33	12	75	74	97.56	0.39	v1.2.3	PRJNA267549	
GCF_001062965.1	Staphylococcus aureus	Homo sapiens	missing				2940	Best-placed reference protein set; GeneMarkS-2+	ABYSS v. 1.3.5	SAMN03197410	218_SAUR			Scaffold	27	32498		32.5	38	217	213	97.99	0.39	v1.2.3	PRJNA267549	
GCF_001063595.1	Staphylococcus aureus	Homo sapiens	missing				2728	Best-placed reference protein set; GeneMarkS-2+	ABYSS v. 1.3.5	SAMN03197705	511_SAUR			Scaffold	17	47472		32.5	22	105	99	97.76	0.42	v1.2.3	PRJNA267549	
GCF_001063705.1	Staphylococcus aureus	Homo sapiens	missing				2706	Best-placed reference protein set; GeneMarkS-2+	ABYSS v. 1.3.5	SAMN03197771	57_SAUR			Scaffold	16	55834		32.5	16	97	96	98.72	0.39	v1.2.3	PRJNA267549	
GCF_001063885.1	Staphylococcus aureus	Homo sapiens	missing				2690	Best-placed reference protein set; GeneMarkS-2+	ABYSS v. 1.3.5	SAMN03197360	169_SAUR			Scaffold	13	77774		32.5	38	75	70	98.42	0.39	v1.2.3	PRJNA267549	
GCF_001063895.1	Staphylococcus aureus	Homo sapiens	missing				2710	Best-placed reference protein set; GeneMarkS-2+	ABYSS v. 1.3.5	SAMN03197364	173_SAUR			Scaffold	14	67638		32.5	14	106	105	98.44	0.39	v1.2.3	PRJNA267549	
GCF_001063955.1	Staphylococcus aureus	Homo sapiens	missing				2966	Best-placed reference protein set; GeneMarkS-2+	ABYSS v. 1.3.5	SAMN03197384	192_SAUR			Scaffold	13	55718		32.5	39	103	100	97.99	0.39	v1.2.3	PRJNA267549	
GCF_001064055.1	Staphylococcus aureus	Homo sapiens	missing				2751	Best-placed reference protein set; GeneMarkS-2+	ABYSS v. 1.3.5	SAMN03197419	229_SAUR			Scaffold	12	62032		33	16	119	118	97.56	0.62	v1.2.3	PRJNA267549	
GCF_001064065.1	Staphylococcus aureus	Homo sapiens	missing				2733	Best-placed reference protein set; GeneMarkS-2+	ABYSS v. 1.3.5	SAMN03197420	23_SAUR			Scaffold	14	56298		32.5	15	91	90	98.57	0.39	v1.2.3	PRJNA267549	
GCF_001064135.1	Staphylococcus aureus	Homo sapiens	missing				2927	Best-placed reference protein set; GeneMarkS-2+	ABYSS v. 1.3.5	SAMN03197442	251_SAUR			Scaffold	17	46529		32.5	13	180	179	97.99	0.39	v1.2.3	PRJNA267549	
GCF_001064175.1	Staphylococcus aureus	Homo sapiens	missing				2713	Best-placed reference protein set; GeneMarkS-2+	ABYSS v. 1.3.5	SAMN03197447	256_SAUR			Scaffold	17	50775		32.5	10	96	94	98.29	0.42	v1.2.3	PRJNA267549	
GCF_001064215.1	Staphylococcus aureus	Homo sapiens	missing				2756	Best-placed reference protein set; GeneMarkS-2+	ABYSS v. 1.3.5	SAMN03197459	266_SAUR			Scaffold	18	45756		32.5	14	123	120	98.36	0.66	v1.2.3	PRJNA267549	
GCF_001064255.1	Staphylococcus aureus	Homo sapiens	missing				2906	Best-placed reference protein set; GeneMarkS-2+	ABYSS v. 1.3.5	SAMN03197462	269_SAUR			Scaffold	12	72477		32.5	34	74	70	98.52	0.39	v1.2.3	PRJNA267549	
GCF_001064295.1	Staphylococcus aureus	Homo sapiens	missing				2856	Best-placed reference protein set; GeneMarkS-2+	ABYSS v. 1.3.5	SAMN03197471	278_SAUR			Scaffold	14	73059		32.5	17	102	82	98.46	3.86	v1.2.3	PRJNA267549	
GCF_001064555.1	Staphylococcus aureus	Homo sapiens	missing				2896	Best-placed reference protein set; GeneMarkS-2+	ABYSS v. 1.3.5	SAMN03197516	326_SAUR			Scaffold	15	55163		32.5	12	108	107	97.93	0.39	v1.2.3	PRJNA267549	
GCF_001065195.1	Staphylococcus aureus	Homo sapiens	missing				2741	Best-placed reference protein set; GeneMarkS-2+	ABYSS v. 1.3.5	SAMN03197677	484_SAUR			Scaffold	23	34835		32.5	11	171	162	98.5	0.65	v1.2.3	PRJNA267549	
GCF_001065215.1	Staphylococcus aureus	Homo sapiens	missing				2689	Best-placed reference protein set; GeneMarkS-2+	ABYSS v. 1.3.5	SAMN03197682	49_SAUR			Scaffold	10	96436		33	21	61	59	98.85	0.39	v1.2.3	PRJNA267549	
GCF_001065285.1	Staphylococcus aureus	Homo sapiens	missing				2741	Best-placed reference protein set; GeneMarkS-2+	ABYSS v. 1.3.5	SAMN03197704	510_SAUR			Scaffold	17	47466		32.5	48	123	114	97.78	0.42	v1.2.3	PRJNA267549	
GCF_001065355.1	Staphylococcus aureus	Homo sapiens	missing				2677	Best-placed reference protein set; GeneMarkS-2+	ABYSS v. 1.3.5	SAMN03197736	54_SAUR			Scaffold	14	55144		32.5	15	101	99	98.85	0.39	v1.2.3	PRJNA267549	
GCF_001065475.1	Staphylococcus aureus	Homo sapiens	missing				3035	Best-placed reference protein set; GeneMarkS-2+	ABYSS v. 1.3.5	SAMN03197776	573_SAUR			Scaffold	15	72160		33	15	101	91	98.55	17.87	v1.2.3	PRJNA267549	
GCF_001065555.1	Staphylococcus aureus	Homo sapiens	missing				2805	Best-placed reference protein set; GeneMarkS-2+	ABYSS v. 1.3.5	SAMN03197787	586_SAUR			Scaffold	17	51549		32.5	19	149	147	98.72	1.27	v1.2.3	PRJNA267549	
GCF_001065595.1	Staphylococcus aureus	Homo sapiens	missing				3001	Best-placed reference protein set; GeneMarkS-2+	ABYSS v. 1.3.5	SAMN03197803	602_SAUR			Scaffold	29	30725		32.5	25	234	223	97.9	0.37	v1.2.3	PRJNA267549	
GCF_001065975.1	Staphylococcus aureus	Homo sapiens	missing				2684	Best-placed reference protein set; GeneMarkS-2+	ABYSS v. 1.3.5	SAMN03197893	69_SAUR			Scaffold	11	70544		32.5	16	101	98	98.85	0.39	v1.2.3	PRJNA267549	
GCF_001066345.1	Staphylococcus aureus	Homo sapiens	missing				2862	Best-placed reference protein set; GeneMarkS-2+	ABYSS v. 1.3.5	SAMN03198021	807_SAUR			Scaffold	14	53329		32.5	16	102	92	98.63	0.39	v1.2.3	PRJNA267549	
GCF_001066355.1	Staphylococcus aureus	Homo sapiens	missing				2722	Best-placed reference protein set; GeneMarkS-2+	ABYSS v. 1.3.5	SAMN03198024	810_SAUR			Scaffold	24	36033		32.5	31	175	166	98.71	0.39	v1.2.3	PRJNA267549	
GCF_001066425.1	Staphylococcus aureus	Homo sapiens	missing				2933	Best-placed reference protein set; GeneMarkS-2+	ABYSS v. 1.3.5	SAMN03198029	815_SAUR			Scaffold	16	52196		32.5	26	132	123	97.91	0.47	v1.2.3	PRJNA267549	
GCF_001066495.1	Staphylococcus aureus	Homo sapiens	missing				2710	Best-placed reference protein set; GeneMarkS-2+	ABYSS v. 1.3.5	SAMN03198034	82_SAUR			Scaffold	12	76445		32.5	42	72	69	98.72	0.39	v1.2.3	PRJNA267549	
GCF_001066985.1	Staphylococcus aureus	Homo sapiens	missing				2676	Best-placed reference protein set; GeneMarkS-2+	ABYSS v. 1.3.5	SAMN03197904	70_SAUR			Scaffold	13	59621		32.5	47	103	98	98.85	0.39	v1.2.3	PRJNA267549	
GCF_001067075.1	Staphylococcus aureus	Homo sapiens	missing				2895	Best-placed reference protein set; GeneMarkS-2+	ABYSS v. 1.3.5	SAMN03197924	72_SAUR			Scaffold	14	63091		33	17	80	71	98.65	0.39	v1.2.3	PRJNA267549	
GCF_001067185.1	Staphylococcus aureus	Homo sapiens	missing				2886	Best-placed reference protein set; GeneMarkS-2+	ABYSS v. 1.3.5	SAMN03197964	756_SAUR			Scaffold	19	46744		32.5	16	132	121	97.33	0.78	v1.2.3	PRJNA267549	
GCF_001067295.1	Staphylococcus aureus	Homo sapiens	missing				2773	Best-placed reference protein set; GeneMarkS-2+	ABYSS v. 1.3.5	SAMN03197990	78_SAUR			Scaffold	9	102692		32.5	8	62	58	98.4	0.39	v1.2.3	PRJNA267549	
GCF_001067415.1	Staphylococcus aureus	Homo sapiens	missing				2805	Best-placed reference protein set; GeneMarkS-2+	ABYSS v. 1.3.5	SAMN03198023	81_SAUR			Scaffold	12	82403		32.5	31	90	70	98.83	0.42	v1.2.3	PRJNA267549	
GCF_001067445.1	Staphylococcus aureus	Homo sapiens	missing				2716	Best-placed reference protein set; GeneMarkS-2+	ABYSS v. 1.3.5	SAMN03198028	814_SAUR			Scaffold	16	48698		32.5	21	109	97	98.55	0.39	v1.2.3	PRJNA267549	
GCF_001067505.1	Staphylococcus aureus	Homo sapiens	missing				2778	Best-placed reference protein set; GeneMarkS-2+	ABYSS v. 1.3.5	SAMN03198047	84_SAUR			Scaffold	14	62027		32.5	33	100	98	98.4	0.39	v1.2.3	PRJNA267549	
GCF_001068265.1	Staphylococcus aureus	Homo sapiens	missing				2972	Best-placed reference protein set; GeneMarkS-2+	ABYSS v. 1.3.5	SAMN03198176	956_SAUR			Scaffold	17	52948		32.5	22	128	127	97.46	0.39	v1.2.3	PRJNA267549	
GCF_001076515.1	Staphylococcus aureus	Homo sapiens	missing				2930	Best-placed reference protein set; GeneMarkS-2+	ABYSS v. 1.3.5	SAMN03197670	478_SAUR			Scaffold	10	101119		32.5	12	80	76	97.72	5.68	v1.2.3	PRJNA267549	
GCF_001078665.1	Staphylococcus aureus		soil		genome sequencing of Staphylococcus aureus		2706	Best-placed reference protein set; GeneMarkS-2+	SOAPdenovo v. 2.04	SAMN03774725	PX03			Scaffold	3	411917		33	15	17	15	98.47	0.39	v1.2.3	PRJNA286954	
GCF_001183705.3	Staphylococcus aureus	Homo sapiens			Keywords: GSC:MIxS;MIGS:6.0		2988	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.9.1	SAMN03787328	USA300_2014.C01			Complete Genome	1	2917985		33	167	3	3	97.99	0.39	v1.2.3	PRJNA287576	
GCF_001183725.2	Staphylococcus aureus	Homo sapiens			Keywords: GSC:MIxS;MIGS:6.0		2946	Best-placed reference protein set; GeneMarkS-2+	SPAdes v. 3.9.1	SAMN03787340	USA300_2014.C02			Complete Genome	1	2864345		32.5	167	3	3	97.99	0.47	v1.2.3	PRJNA287791	
GCF_001191895.1	Staphylococcus aureus	Homo sapiens	nasal				3003	Best-placed reference protein set; GeneMarkS-2+	Prokka	SAMEA1324737	USFL024			Scaffold	3	346329		32.5	100	36	35	97.94	0.39	v1.2.3	PRJEB2870	
GCF_001192075.1	Staphylococcus aureus	canine	not known				2860	Best-placed reference protein set; GeneMarkS-2+	Prokka	SAMEA1463397	BSAR194_2			Scaffold	5	150854		32.5	100	53	52	98.79	0.46	v1.2.4	PRJEB2655	
GCF_001192095.1	Staphylococcus aureus	Homo sapiens	nasal				2949	Best-placed reference protein set; GeneMarkS-2+	Prokka	SAMEA1710086	FL358			Scaffold	3	346516		32.5	100	39	38	97.99	0.39	v1.2.3	PRJEB2870	
GCF_001192155.1	Staphylococcus aureus	Homo sapiens	nasal				2932	Best-placed reference protein set; GeneMarkS-2+	Prokka	SAMEA1710106	FL392			Scaffold	7	101345		32.5	100	95	91	97.99	0.39	v1.2.3	PRJEB2870	
GCF_001192675.1	Staphylococcus aureus	Homo sapiens	nasal				3049	Best-placed reference protein set; GeneMarkS-2+	Prokka	SAMEA1324516	USFL204			Scaffold	2	472754		32.5	100	31	27	97.85	0.85	v1.2.3	PRJEB2870	
GCF_001192895.1	Staphylococcus aureus	Homo sapiens	not known				2829	Best-placed reference protein set; GeneMarkS-2+	Prokka	SAMEA1708990	BSAR747			Scaffold	7	125436		32.5	100	38	37	98.78	0.39	v1.2.4	PRJEB2655	
GCF_001194525.1	Staphylococcus aureus	Homo sapiens	nasal				2918	Best-placed reference protein set; GeneMarkS-2+	Prokka	SAMEA1710102	FL376			Scaffold	7	144876		32.5	100	61	60	97.87	0.39	v1.2.3	PRJEB2870	
GCF_001194825.1	Staphylococcus aureus	Homo sapiens	nasal				2931	Best-placed reference protein set; GeneMarkS-2+	Prokka	SAMEA1710081	FL368			Scaffold	6	160616		32.5	100	45	44	97.99	0.39	v1.2.3	PRJEB2870	
GCF_001195105.1	Staphylococcus aureus	canine	not known				2744	Best-placed reference protein set; GeneMarkS-2+	Prokka	SAMEA1463435	BSAR163_2			Scaffold	5	163552		32.5	100	46	45	98.62	0.39	v1.2.4	PRJEB2655	
GCF_001195205.1	Staphylococcus aureus	canine	granuloma				2803	Best-placed reference protein set; GeneMarkS-2+	Prokka	SAMEA1463416	BSAR160_2			Scaffold	4	255500		32.5	100	33	32	98.7	0.39	v1.2.4	PRJEB2655	
GCF_001196435.1	Staphylococcus aureus	Homo sapiens	nasal				2927	Best-placed reference protein set; GeneMarkS-2+	Prokka	SAMEA1710115	FL363			Scaffold	4	326387		32.5	100	25	22	97.99	0.39	v1.2.3	PRJEB2870	
GCF_001198115.1	Staphylococcus aureus	Homo sapiens	nasal				2917	Best-placed reference protein set; GeneMarkS-2+	Prokka	SAMEA1710083	FL384			Scaffold	7	112447		32.5	100	79	77	97.97	0.39	v1.2.3	PRJEB2870	
GCF_001200635.1	Staphylococcus aureus	Homo sapiens	nasal				2899	Best-placed reference protein set; GeneMarkS-2+	Prokka	SAMEA1710104	FL391			Scaffold	7	148150		32.5	100	54	51	97.99	0.39	v1.2.3	PRJEB2870	
GCF_001200875.1	Staphylococcus aureus	Homo sapiens	nasal				2891	Best-placed reference protein set; GeneMarkS-2+	Prokka	SAMEA1710079	FL367			Scaffold	3	455052		32.5	100	24	23	97.99	0.39	v1.2.3	PRJEB2870	
GCF_001201035.1	Staphylococcus aureus	Homo sapiens	not known				2905	Best-placed reference protein set; GeneMarkS-2+	Prokka	SAMEA1708805	BSAR724			Scaffold	11	83756		32.5	100	77	76	98.27	0.39	v1.2.4	PRJEB2655	
GCF_001201535.1	Staphylococcus aureus	Homo sapiens	nasal				2749	Best-placed reference protein set; GeneMarkS-2+	Prokka	SAMEA1710085	FL385			Scaffold	6	172444		32.5	100	44	42	98.57	0.39	v1.2.3	PRJEB2870	
GCF_001201615.1	Staphylococcus aureus	Homo sapiens	nasal				2931	Best-placed reference protein set; GeneMarkS-2+	Prokka	SAMEA1710088	FL370			Scaffold	9	114613		32.5	100	60	59	97.99	0.39	v1.2.3	PRJEB2870	
GCF_001202595.1	Staphylococcus aureus	Homo sapiens	nasal				2925	Best-placed reference protein set; GeneMarkS-2+	Prokka	SAMEA1710084	FL356			Scaffold	3	346348		32.5	100	31	30	97.87	0.39	v1.2.4	PRJEB2870	
GCF_001203975.1	Staphylococcus aureus	Homo sapiens	blood				2746	Best-placed reference protein set; GeneMarkS-2+	Prokka	SAMEA1033436	BSAR57			Scaffold	6	154283		32.5	100	36	34	98.45	0.74	v1.2.4	PRJEB2655	
GCF_001204955.1	Staphylococcus aureus	Homo sapiens	nasal				2885	Best-placed reference protein set; GeneMarkS-2+	Prokka	SAMEA1710087	FL371			Scaffold	2	825403		32.5	100	21	18	98.57	0.39	v1.2.3	PRJEB2870	
GCF_001205315.1	Staphylococcus aureus	Homo sapiens	nasal				2895	Best-placed reference protein set; GeneMarkS-2+	Prokka	SAMEA1710076	FL366			Scaffold	2	664044		32.5	100	21	20	97.99	0.39	v1.2.3	PRJEB2870	
GCF_001206395.1	Staphylococcus aureus	Homo sapiens	nasal				2923	Best-placed reference protein set; GeneMarkS-2+	Prokka	SAMEA1710105	FL393			Scaffold	7	158984		32.5	100	52	49	97.99	0.39	v1.2.3	PRJEB2870	
GCF_001207535.1	Staphylococcus aureus	Homo sapiens	nasal				3000	Best-placed reference protein set; GeneMarkS-2+	Prokka	SAMEA1710101	FL389			Scaffold	7	141285		32.5	100	73	72	97.84	0.39	v1.2.3	PRJEB2870	
GCF_001208805.1	Staphylococcus aureus	Homo sapiens	nasal				2960	Best-placed reference protein set; GeneMarkS-2+	Prokka	SAMEA1324762	USFL298			Scaffold	2	629376		32.5	100	24	20	97.99	0.6	v1.2.3	PRJEB2870	
GCF_001209785.1	Staphylococcus aureus	Homo sapiens	not known				2913	Best-placed reference protein set; GeneMarkS-2+	Prokka	SAMEA1708872	BSAR725			Scaffold	11	86880		32.5	100	71	70	98.55	0.39	v1.2.4	PRJEB2655	
GCF_001210685.1	Staphylococcus aureus	Homo sapiens	nasal				2938	Best-placed reference protein set; GeneMarkS-2+	Prokka	SAMEA1710078	FL359			Scaffold	3	346482		32.5	100	34	32	97.99	0.39	v1.2.3	PRJEB2870	
GCF_001210725.1	Staphylococcus aureus	Homo sapiens	nasal				2928	Best-placed reference protein set; GeneMarkS-2+	Prokka	SAMEA1710094	FL383			Scaffold	5	221218		32.5	100	58	52	97.97	0.46	v1.2.3	PRJEB2870	
GCF_001211025.1	Staphylococcus aureus	canine	wound				2885	Best-placed reference protein set; GeneMarkS-2+	Prokka	SAMEA1463427	BSAR161_2			Scaffold	6	174123		32.5	100	60	59	98.41	0.39	v1.2.4	PRJEB2655	
GCF_001211065.1	Staphylococcus aureus	Homo sapiens	nasal				2992	Best-placed reference protein set; GeneMarkS-2+	Prokka	SAMEA1710113	FL364			Scaffold	4	346504		32.5	100	26	24	97.99	0.39	v1.2.3	PRJEB2870	
GCF_001211625.1	Staphylococcus aureus	Homo sapiens	soft tissue				2969	Best-placed reference protein set; GeneMarkS-2+	Prokka	SAMEA1324585	USFL016			Scaffold	2	567822		32.5	100	26	24	97.99	0.39	v1.2.3	PRJEB2870	
GCF_001212385.1	Staphylococcus aureus	Homo sapiens	nasal				2909	Best-placed reference protein set; GeneMarkS-2+	Prokka	SAMEA1710099	FL377			Scaffold	8	148444		32.5	100	61	57	97.87	0.39	v1.2.3	PRJEB2870	
GCF_001212665.1	Staphylococcus aureus	Homo sapiens	nasal				3000	Best-placed reference protein set; GeneMarkS-2+	Prokka	SAMEA1710080	FL360			Scaffold	3	346438		32.5	100	30	29	97.99	0.39	v1.2.3	PRJEB2870	
GCF_001223565.1	Staphylococcus aureus	Homo sapiens	Catheter				2912	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA862577	DEU2			Scaffold	12	79787		32.5	168	77	76	98.7	0.39	v1.2.3	PRJEB2173	
GCF_001223625.1	Staphylococcus aureus	Homo sapiens	not known				2725	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA734789	07-01492			Scaffold	16	62292		32.5	37	92	61	97.72	0.39	v1.2.3	PRJEB2096	
GCF_001223645.1	Staphylococcus aureus	Homo sapiens	not known				2749	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA734692	07-01744			Scaffold	7	123684		32.5	143	41	37	98.76	0.39	v1.2.4	PRJEB2096	
GCF_001223665.1	Staphylococcus aureus	Homo sapiens	not known				2722	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA734713	06-01552			Scaffold	8	108839		32.5	70	50	47	98.23	0.39	v1.2.3	PRJEB2096	
GCF_001223705.1	Staphylococcus aureus	Homo sapiens	not known				2743	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA734752	03-00220			Scaffold	8	108431		32.5	76	55	50	98.05	0.39	v1.2.3	PRJEB2096	
GCF_001223865.1	Staphylococcus aureus	Homo sapiens	not known				2735	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA1030182	ST22			Scaffold	4	251691		32.5	158	35	34	98.82	0.39	v1.2.3	PRJEB2510	
GCF_001223965.1	Staphylococcus aureus	Homo sapiens	not known				2663	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA734747	07-03347			Scaffold	31	27091		32.5	26	233	99	96.96	0.54	v1.2.3	PRJEB2096	
GCF_001224045.1	Staphylococcus aureus	Homo sapiens	not known				2759	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA734786	07-02992			Scaffold	7	125491		32.5	70	40	39	98.82	0.39	v1.2.4	PRJEB2096	
GCF_001224085.1	Staphylococcus aureus	Homo sapiens	not known				2710	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA1030156	ST22			Scaffold	4	194546		32.5	178	33	31	98.23	0.39	v1.2.3	PRJEB2510	
GCF_001224165.1	Staphylococcus aureus	Homo sapiens	not known				2775	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA734724	08-01668			Scaffold	10	86741		32.5	63	49	48	98.23	0.39	v1.2.3	PRJEB2096	
GCF_001224285.1	Staphylococcus aureus	Homo sapiens	not known				2656	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA734768	07-03168			Scaffold	24	37592		32.5	27	194	70	97.91	0.42	v1.2.3	PRJEB2096	
GCF_001224525.1	Staphylococcus aureus	Homo sapiens	not known				2824	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA734719	06-00896			Scaffold	13	87430		32.5	42	77	62	97.83	0.39	v1.2.3	PRJEB2096	
GCF_001224605.1	Staphylococcus aureus	Homo sapiens	not known				2793	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA734730	08-01673			Scaffold	23	35966		32.5	29	195	89	98.03	0.39	v1.2.3	PRJEB2096	
GCF_001224685.1	Staphylococcus aureus	Homo sapiens	not known				2739	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA734745	07-03348-1			Scaffold	10	83618		32.5	35	73	55	98.7	0.39	v1.2.3	PRJEB2096	
GCF_001224825.1	Staphylococcus aureus	Homo sapiens	not known				2782	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA734703	07-00063			Scaffold	21	41745		32.5	51	140	109	97.47	0.39	v1.2.3	PRJEB2096	
GCF_001224925.1	Staphylococcus aureus	Homo sapiens	not known				2744	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA734798	08-01481-1			Scaffold	13	75292		32.5	36	69	56	98.7	0.58	v1.2.3	PRJEB2096	
GCF_001224945.1	Staphylococcus aureus	Homo sapiens	not known				2867	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA734749	04-00609			Scaffold	10	100819		32.5	97	54	46	98.23	0.39	v1.2.3	PRJEB2096	
GCF_001225365.1	Staphylococcus aureus	Homo sapiens	not known				2942	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA862533	IU19			Scaffold	49	19313		32.5	107	305	297	98.76	0.62	v1.2.3	PRJEB2173	
GCF_001225505.1	Staphylococcus aureus	Homo sapiens	not known				2695	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA734783	07-02989			Scaffold	14	70187		32.5	30	88	60	98.8	0.39	v1.2.3	PRJEB2096	
GCF_001225525.1	Staphylococcus aureus	Homo sapiens	not known				2902	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA734689	07-02159			Scaffold	10	93728		32.5	123	64	58	98.7	0.49	v1.2.3	PRJEB2096	
GCF_001225545.1	Staphylococcus aureus	Homo sapiens	not known				2736	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA734721	09-00683			Scaffold	9	109567		32.5	98	46	42	97.92	0.39	v1.2.3	PRJEB2096	
GCF_001225585.1	Staphylococcus aureus	Homo sapiens	not known				2813	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA734774	08-01483			Scaffold	36	24291		32.5	27	308	89	97.01	0.39	v1.2.3	PRJEB2096	
GCF_001225625.1	Staphylococcus aureus	Homo sapiens	not known				2725	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA1030281	ST22			Scaffold	5	154504		32.5	217	37	35	98.17	0.39	v1.2.3	PRJEB2510	
GCF_001225705.1	Staphylococcus aureus	Homo sapiens	not known				2907	Best-placed reference protein set; GeneMarkS-2+	velvet	SAMEA1030187	ST22			Scaffold	6	146391		32.5	282	37	35	98.82	0.39	v1.2.3	PRJEB2510	
